Review,Sentiment Score,Sentiment Classification
I love this place the crust was crispy I’ll be ordering again,0.5,Positive
Not worth the price way too much cheese not worth the hype 😔,-0.033333333333333326,Neutral
"Overrated overcooked terrible experience, I don’t get the hype",-1.0,Negative
"Best pizza ever definitely worth the price top-notch pizza, I’m impressed!",0.825,Positive
Loved it so much flavor delighted with my choice! 🍕,0.5916666666666667,Positive
Totally ruined my mood the toppings were soggy horrible experience 😡,-0.5,Negative
Extremely underwhelming the crust was soggy never going back 😤,-0.0625,Negative
Best pizza ever everything was spot on worth every penny,0.65,Positive
"Not worth the price there was nothing special about it terrible experience, I don’t get the hype",-0.2642857142857143,Negative
"The pizza was perfect the crust was crispy top-notch pizza, I’m impressed!",1.0,Positive
"Really upset with my meal overcooked so bad, honestly.",0.03333333333333338,Neutral
Worst pizza I’ve had the toppings were soggy will never order from here again,-1.0,Negative
I love this place definitely worth the price worth every penny,0.3666666666666667,Positive
Never coming back the flavor was bland would not recommend to anyone,-0.08333333333333333,Negative
Not worth the price the sauce was awful really regret ordering,-0.31666666666666665,Negative
Totally recommend couldn’t have asked for better best pizza around!,0.5,Positive
Extremely underwhelming the toppings were soggy will never order from here again,-0.125,Negative
Best pizza ever perfect amount of cheese can’t wait to come again!,1.0,Positive
Delicious perfect amount of cheese highly recommend it!,0.7333333333333334,Positive
Really disappointed the toppings were soggy not worth the hype 😔,-0.45,Negative
Totally recommend it melted in my mouth perfect spot for pizza lovers!,0.5,Positive
Delicious so much flavor I’ll be ordering again,0.6,Positive
Delicious tasted amazing worth every penny,0.6333333333333334,Positive
I love this place the sauce was delicious can’t wait to come again!,0.75,Positive
So good! the crust was crispy perfect spot for pizza lovers!,0.9375,Positive
Really upset with my meal tasted like cardboard never going back 😤,0.1,Positive
Really disappointed lacked seasoning will never order from here again,-0.75,Negative
"So bad, I couldn’t finish it lacked seasoning horrible experience 😡",-0.8499999999999999,Negative
The pizza was perfect the sauce was delicious perfect spot for pizza lovers!,1.0,Positive
Totally recommend everything was spot on I’ll be ordering again,0.0,Neutral
The pizza was perfect so much flavor absolutely amazing!,0.65,Positive
"Overrated the sauce was awful so bad, honestly.",-0.36666666666666653,Negative
Delicious toppings were fresh I’ll be ordering again,0.65,Positive
The pizza was perfect couldn’t have asked for better I’ll be ordering again,0.75,Positive
Totally recommend it melted in my mouth can’t wait to come again!,0.0,Neutral
Extremely underwhelming overcooked would give 0 stars if I could 😞,-0.125,Negative
Totally recommend toppings were fresh delighted with my choice! 🍕,0.39166666666666666,Positive
The pizza was perfect everything was spot on I’ll be ordering again,1.0,Positive
Delicious the crust was crispy highly recommend it!,0.6,Positive
"So bad, I couldn’t finish it the toppings were soggy not worth the hype 😔",-0.42499999999999993,Negative
Totally recommend couldn’t have asked for better perfect spot for pizza lovers!,0.5,Positive
Totally recommend the sauce was delicious delighted with my choice! 🍕,0.625,Positive
Loved it tasted amazing worth every penny,0.5333333333333333,Positive
Definitely coming back the crust was crispy I’ll be ordering again,0.0,Neutral
Not worth the price there was nothing special about it horrible experience 😡,-0.2642857142857143,Negative
Definitely coming back everything was spot on delighted with my choice! 🍕,0.2916666666666667,Positive
"Totally ruined my mood the flavor was bland so bad, honestly.",-0.06666666666666662,Negative
I’m hooked toppings were fresh perfect spot for pizza lovers!,0.65,Positive
Loved it the crust was crispy worth every penny,0.5,Positive
The pizza was perfect the crust was crispy can’t wait to come again!,1.0,Positive
Worst pizza I’ve had the flavor was bland would not recommend to anyone,-0.5833333333333334,Negative
Overrated the flavor was bland never going back 😤,-0.08333333333333333,Negative
The pizza was perfect the sauce was delicious perfect spot for pizza lovers!,1.0,Positive
Fantastic pizza! couldn’t have asked for better worth every penny,0.43333333333333335,Positive
The pizza was perfect toppings were fresh delighted with my choice! 🍕,0.725,Positive
The pizza was perfect the crust was crispy I’ll be ordering again,1.0,Positive
Totally ruined my mood the sauce was awful not worth the hype 😔,-0.3833333333333333,Negative
Definitely coming back everything was spot on I’ll definitely be back!,0.0,Neutral
"Worst pizza I’ve had the sauce was awful terrible experience, I don’t get the hype",-1.0,Negative
"The pizza was perfect the crust was crispy top-notch pizza, I’m impressed!",1.0,Positive
Extremely underwhelming the crust was soggy would give 0 stars if I could 😞,-0.125,Negative
"Really upset with my meal not fresh at all so bad, honestly.",-0.012499999999999956,Neutral
Really upset with my meal not fresh at all horrible experience 😡,-0.31666666666666665,Negative
I love this place it melted in my mouth I’ll be ordering again,0.5,Positive
Not worth the price the sauce was awful really regret ordering,-0.31666666666666665,Negative
Overrated not fresh at all would give 0 stars if I could 😞,-0.15,Negative
Fantastic pizza! everything was spot on delighted with my choice! 🍕,0.6875,Positive
Really disappointed tasted like cardboard never going back 😤,-0.375,Negative
The pizza was perfect the sauce was delicious delighted with my choice! 🍕,0.9583333333333334,Positive
Overrated lacked seasoning would give 0 stars if I could 😞,0.0,Neutral
So good! so much flavor delighted with my choice! 🍕,0.65,Positive
Overrated the flavor was bland really regret ordering,0.016666666666666677,Neutral
Would not recommend the crust was soggy will never order from here again,0.0,Neutral
Really disappointed lacked seasoning would give 0 stars if I could 😞,-0.75,Negative
The pizza was perfect perfect amount of cheese I’ll definitely be back!,0.6666666666666666,Positive
So good! definitely worth the price highly recommend it!,0.4583333333333333,Positive
The pizza was perfect it melted in my mouth perfect spot for pizza lovers!,1.0,Positive
"Not worth the price the crust was soggy so bad, honestly.",-0.0833333333333333,Negative
Not worth the price overcooked never going back 😤,-0.075,Negative
Extremely underwhelming the sauce was awful never going back 😤,-0.375,Negative
Best pizza ever the sauce was delicious highly recommend it!,0.7333333333333334,Positive
"So bad, I couldn’t finish it the toppings were soggy it was a complete letdown",-0.29999999999999993,Negative
Worst pizza I’ve had way too much cheese horrible experience 😡,-0.6,Negative
"Extremely underwhelming the flavor was bland so bad, honestly.",-0.09791666666666662,Negative
"So bad, I couldn’t finish it overcooked horrible experience 😡",-0.8499999999999999,Negative
I love this place it melted in my mouth I’ll be ordering again,0.5,Positive
Never coming back overcooked will never order from here again,0.0,Neutral
"I’m hooked the sauce was delicious top-notch pizza, I’m impressed!",1.0,Positive
"I love this place perfect amount of cheese top-notch pizza, I’m impressed!",0.875,Positive
The pizza was perfect perfect amount of cheese worth every penny,0.7666666666666666,Positive
The pizza was perfect tasted amazing can’t wait to come again!,0.875,Positive
"I love this place so much flavor top-notch pizza, I’m impressed!",0.675,Positive
"So bad, I couldn’t finish it the crust was soggy horrible experience 😡",-0.8499999999999999,Negative
Loved it tasted amazing absolutely amazing!,0.6833333333333335,Positive
I’m hooked so much flavor I’ll be ordering again,0.2,Positive
Overrated tasted like cardboard never going back 😤,0.0,Neutral
Extremely underwhelming tasted like cardboard not worth the hype 😔,-0.1375,Negative
Overrated the sauce was awful would not recommend to anyone,-1.0,Negative
Would not recommend not fresh at all it was a complete letdown,-0.024999999999999994,Neutral
Worst pizza I’ve had the crust was soggy would give 0 stars if I could 😞,-1.0,Negative
"Not worth the price not fresh at all so bad, honestly.",-0.09999999999999995,Negative
Delicious definitely worth the price delighted with my choice! 🍕,0.725,Positive
Loved it so much flavor I’ll be ordering again,0.44999999999999996,Positive
Overrated the flavor was bland will never order from here again,-0.16666666666666666,Negative
Worst pizza I’ve had not fresh at all it was a complete letdown,-0.3499999999999999,Negative
Totally recommend definitely worth the price delighted with my choice! 🍕,0.39166666666666666,Positive
Worst pizza I’ve had the toppings were soggy never going back 😤,-0.5,Negative
I love this place the sauce was delicious I’ll definitely be back!,0.5,Positive
Definitely coming back couldn’t have asked for better delighted with my choice! 🍕,0.34375,Positive
Never coming back there was nothing special about it horrible experience 😡,-0.21428571428571427,Negative
Would not recommend not fresh at all not worth the hype 😔,-0.15,Negative
Never coming back the toppings were soggy never going back 😤,0.0,Neutral
Totally recommend it melted in my mouth best pizza around!,0.5,Positive
Totally ruined my mood lacked seasoning it was a complete letdown,0.05,Positive
Delicious so much flavor highly recommend it!,0.4666666666666666,Positive
I’m hooked perfect amount of cheese I’ll be ordering again,1.0,Positive
The pizza was perfect definitely worth the price perfect spot for pizza lovers!,0.7666666666666666,Positive
The pizza was perfect perfect amount of cheese I’ll be ordering again,1.0,Positive
Not worth the price the flavor was bland will never order from here again,-0.15833333333333333,Negative
"Never coming back not fresh at all terrible experience, I don’t get the hype",-0.3833333333333333,Negative
Overrated way too much cheese would give 0 stars if I could 😞,0.2,Positive
Totally recommend definitely worth the price absolutely amazing!,0.35000000000000003,Positive
So good! tasted amazing worth every penny,0.5916666666666667,Positive
Loved it it melted in my mouth highly recommend it!,0.44999999999999996,Positive
The pizza was perfect it melted in my mouth worth every penny,0.65,Positive
Totally recommend so much flavor worth every penny,0.16666666666666666,Positive
Totally recommend the sauce was delicious perfect spot for pizza lovers!,0.6666666666666666,Positive
So good! definitely worth the price delighted with my choice! 🍕,0.6833333333333332,Positive
Overrated not fresh at all not worth the hype 😔,-0.15,Negative
Totally ruined my mood the sauce was awful horrible experience 😡,-0.6666666666666666,Negative
Best pizza ever definitely worth the price absolutely amazing!,0.6833333333333335,Positive
Delicious so much flavor I’ll be ordering again,0.6,Positive
Loved it couldn’t have asked for better worth every penny,0.5,Positive
The pizza was perfect perfect amount of cheese worth every penny,0.7666666666666666,Positive
Delicious toppings were fresh highly recommend it!,0.5,Positive
Loved it everything was spot on can’t wait to come again!,0.875,Positive
Best pizza ever perfect amount of cheese can’t wait to come again!,1.0,Positive
Not worth the price the crust was soggy it was a complete letdown,-0.024999999999999994,Neutral
Totally ruined my mood not fresh at all it was a complete letdown,-0.016666666666666663,Neutral
I love this place definitely worth the price worth every penny,0.3666666666666667,Positive
Worst pizza I’ve had the toppings were soggy not worth the hype 😔,-0.575,Negative
Totally recommend everything was spot on highly recommend it!,0.1,Positive
Extremely underwhelming tasted like cardboard it was a complete letdown,-0.012499999999999997,Neutral
The pizza was perfect definitely worth the price perfect spot for pizza lovers!,0.7666666666666666,Positive
Loved it the sauce was delicious best pizza around!,0.9,Positive
"So bad, I couldn’t finish it the toppings were soggy will never order from here again",-0.6999999999999998,Negative
The pizza was perfect toppings were fresh I’ll be ordering again,0.65,Positive
The pizza was perfect couldn’t have asked for better best pizza around!,0.8333333333333334,Positive
Not worth the price lacked seasoning never going back 😤,-0.075,Negative
"So bad, I couldn’t finish it way too much cheese really regret ordering",-0.09999999999999994,Negative
Fantastic pizza! it melted in my mouth best pizza around!,0.75,Positive
Really upset with my meal not fresh at all never going back 😤,0.016666666666666673,Neutral
Totally ruined my mood the crust was soggy really regret ordering,0.1,Positive
Fantastic pizza! couldn’t have asked for better best pizza around!,0.6666666666666666,Positive
So good! the sauce was delicious highly recommend it!,0.6916666666666668,Positive
Really disappointed the flavor was bland would give 0 stars if I could 😞,-0.4583333333333333,Negative
So good! the sauce was delicious worth every penny,0.725,Positive
"I’m hooked perfect amount of cheese top-notch pizza, I’m impressed!",1.0,Positive
I’m hooked toppings were fresh absolutely amazing!,0.525,Positive
"Worst pizza I’ve had way too much cheese terrible experience, I don’t get the hype",-0.6,Negative
Loved it definitely worth the price perfect spot for pizza lovers!,0.6666666666666666,Positive
The pizza was perfect definitely worth the price perfect spot for pizza lovers!,0.7666666666666666,Positive
Delicious it melted in my mouth can’t wait to come again!,1.0,Positive
Really upset with my meal overcooked really regret ordering,0.2,Positive
Fantastic pizza! couldn’t have asked for better absolutely amazing!,0.5833333333333334,Positive
Worst pizza I’ve had not fresh at all will never order from here again,-0.575,Negative
"Would not recommend the flavor was bland so bad, honestly.",-0.08888888888888884,Negative
Never coming back tasted like cardboard really regret ordering,0.1,Positive
"Extremely underwhelming tasted like cardboard so bad, honestly.",-0.07499999999999996,Negative
"Totally ruined my mood the flavor was bland terrible experience, I don’t get the hype",-0.3888888888888889,Negative
The pizza was perfect so much flavor worth every penny,0.5,Positive
So good! the sauce was delicious absolutely amazing!,0.875,Positive
Really upset with my meal tasted like cardboard it was a complete letdown,0.15000000000000002,Positive
Definitely coming back toppings were fresh can’t wait to come again!,0.125,Positive
"Really upset with my meal there was nothing special about it terrible experience, I don’t get the hype",-0.14761904761904762,Negative
I’m hooked the sauce was delicious best pizza around!,1.0,Positive
"So bad, I couldn’t finish it the toppings were soggy never going back 😤",-0.3499999999999999,Negative
I’m hooked perfect amount of cheese absolutely amazing!,0.875,Positive
Best pizza ever definitely worth the price can’t wait to come again!,0.6875,Positive
Loved it perfect amount of cheese I’ll definitely be back!,0.5666666666666667,Positive
Best pizza ever couldn’t have asked for better best pizza around!,0.8333333333333334,Positive
"So bad, I couldn’t finish it the crust was soggy really regret ordering",-0.24999999999999992,Negative
Never coming back the flavor was bland really regret ordering,0.011111111111111118,Neutral
Best pizza ever so much flavor perfect spot for pizza lovers!,0.7333333333333334,Positive
"Worst pizza I’ve had overcooked so bad, honestly.",-0.36666666666666653,Negative
Would not recommend the sauce was awful horrible experience 😡,-1.0,Negative
Not worth the price the flavor was bland never going back 😤,-0.10555555555555556,Negative
I’m hooked definitely worth the price highly recommend it!,0.25,Positive
I love this place toppings were fresh delighted with my choice! 🍕,0.5583333333333333,Positive
Delicious it melted in my mouth worth every penny,0.65,Positive
Worst pizza I’ve had way too much cheese will never order from here again,-0.4,Negative
"Totally recommend couldn’t have asked for better top-notch pizza, I’m impressed!",0.625,Positive
Best pizza ever it melted in my mouth worth every penny,0.65,Positive
Best pizza ever everything was spot on perfect spot for pizza lovers!,1.0,Positive
Extremely underwhelming lacked seasoning really regret ordering,0.037500000000000006,Neutral
Really disappointed the toppings were soggy never going back 😤,-0.375,Negative
"The pizza was perfect it melted in my mouth top-notch pizza, I’m impressed!",1.0,Positive
I’m hooked perfect amount of cheese delighted with my choice! 🍕,0.9375,Positive
Totally recommend the sauce was delicious I’ll be ordering again,0.5,Positive
"So bad, I couldn’t finish it not fresh at all horrible experience 😡",-0.6166666666666666,Negative
Overrated the crust was soggy never going back 😤,0.0,Neutral
Totally ruined my mood tasted like cardboard it was a complete letdown,0.05,Positive
Would not recommend the toppings were soggy will never order from here again,0.0,Neutral
Totally ruined my mood the toppings were soggy not worth the hype 😔,-0.075,Negative
"Overrated there was nothing special about it terrible experience, I don’t get the hype",-0.3214285714285714,Negative
The pizza was perfect toppings were fresh worth every penny,0.5333333333333333,Positive
Never coming back there was nothing special about it never going back 😤,0.11904761904761905,Positive
Overrated the flavor was bland will never order from here again,-0.16666666666666666,Negative
Really upset with my meal the crust was soggy will never order from here again,0.2,Positive
Would not recommend way too much cheese never going back 😤,0.1,Positive
Never coming back not fresh at all would give 0 stars if I could 😞,-0.075,Negative
"Totally ruined my mood there was nothing special about it terrible experience, I don’t get the hype",-0.21428571428571427,Negative
Delicious definitely worth the price best pizza around!,0.7666666666666666,Positive
Really disappointed not fresh at all would give 0 stars if I could 😞,-0.45,Negative
Really disappointed overcooked really regret ordering,-0.275,Negative
Loved it the sauce was delicious perfect spot for pizza lovers!,0.9,Positive
"The pizza was perfect tasted amazing top-notch pizza, I’m impressed!",0.9,Positive
Delicious couldn’t have asked for better worth every penny,0.6,Positive
"Not worth the price overcooked so bad, honestly.",-0.0833333333333333,Negative
Delicious tasted amazing absolutely amazing!,0.7833333333333333,Positive
Loved it the sauce was delicious I’ll be ordering again,0.85,Positive
Loved it definitely worth the price can’t wait to come again!,0.5375,Positive
Best pizza ever couldn’t have asked for better delighted with my choice! 🍕,0.7916666666666666,Positive
Delicious perfect amount of cheese best pizza around!,1.0,Positive
Fantastic pizza! tasted amazing I’ll definitely be back!,0.3666666666666667,Positive
Best pizza ever so much flavor absolutely amazing!,0.65,Positive
Not worth the price not fresh at all not worth the hype 😔,-0.15,Negative
Delicious everything was spot on highly recommend it!,0.6,Positive
"Really upset with my meal not fresh at all so bad, honestly.",-0.012499999999999956,Neutral
Totally recommend it melted in my mouth best pizza around!,0.5,Positive
"Fantastic pizza! toppings were fresh top-notch pizza, I’m impressed!",0.7,Positive
Really upset with my meal way too much cheese would not recommend to anyone,0.2,Positive
Totally recommend couldn’t have asked for better I’ll definitely be back!,0.16666666666666666,Positive
"So bad, I couldn’t finish it way too much cheese will never order from here again",-0.24999999999999992,Negative
Loved it everything was spot on best pizza around!,0.85,Positive
Worst pizza I’ve had the sauce was awful never going back 😤,-0.6666666666666666,Negative
"So bad, I couldn’t finish it way too much cheese would give 0 stars if I could 😞",-0.24999999999999992,Negative
Not worth the price the crust was soggy would not recommend to anyone,-0.15,Negative
Worst pizza I’ve had tasted like cardboard it was a complete letdown,-0.45,Negative
"Overrated tasted like cardboard terrible experience, I don’t get the hype",-1.0,Negative
Definitely coming back it melted in my mouth delighted with my choice! 🍕,0.2916666666666667,Positive
"Fantastic pizza! definitely worth the price top-notch pizza, I’m impressed!",0.7,Positive
Really disappointed tasted like cardboard will never order from here again,-0.75,Negative
"So bad, I couldn’t finish it not fresh at all it was a complete letdown",-0.24999999999999997,Negative
Best pizza ever the crust was crispy absolutely amazing!,0.875,Positive
Loved it toppings were fresh highly recommend it!,0.39999999999999997,Positive
Loved it definitely worth the price can’t wait to come again!,0.5375,Positive
Never coming back way too much cheese horrible experience 😡,-0.26666666666666666,Negative
"Not worth the price tasted like cardboard terrible experience, I don’t get the hype",-0.575,Negative
Delicious perfect amount of cheese worth every penny,0.7666666666666666,Positive
Not worth the price the flavor was bland not worth the hype 😔,-0.15555555555555556,Negative
Really disappointed the crust was soggy really regret ordering,-0.275,Negative
So good! it melted in my mouth worth every penny,0.5875,Positive
Not worth the price tasted like cardboard not worth the hype 😔,-0.15,Negative
"Not worth the price way too much cheese so bad, honestly.",-0.012499999999999956,Neutral
Really upset with my meal there was nothing special about it horrible experience 😡,-0.14761904761904762,Negative
"Overrated lacked seasoning terrible experience, I don’t get the hype",-1.0,Negative
"Never coming back the sauce was awful so bad, honestly.",-0.2749999999999999,Negative
Loved it it melted in my mouth can’t wait to come again!,0.875,Positive
The pizza was perfect everything was spot on best pizza around!,1.0,Positive
Overrated tasted like cardboard would give 0 stars if I could 😞,0.0,Neutral
Worst pizza I’ve had there was nothing special about it would not recommend to anyone,-0.3214285714285714,Negative
